BLA-Insc-3_C01,BLA-Insc-3_C02,BLA-Insc-3_C03,BLA-Insc-3_C04,BLA-Insc-3_C05,BLA-Insc-3_C06,BLA-Insc-3_C07,BLA-Insc-3_C08,BLA-Insc-3_C09,BLA-Insc-3_C10,BLA-Insc-3_C11,BLA-Insc-3_C12,BLA-Insc-6_C01,BLA-Insc-6_C02,BLA-Insc-6_C03,BLA-Insc-6_C04,BLA-Insc-6_C05,BLA-Insc-6_C06,BLA-Insc-6_C07,BLA-Insc-6_C08,BLA-Insc-6_C09,BLA-Insc-6_C10,BLA-Insc-6_C11,BLA-Insc-6_C12,BLA-Insc-6_C13
3.1681625,0.73672475,4.482802,0.8326152499999999,1.583389,0.082852992,-0.3782295,-1.1800035,0.87012535,1.0814212,4.2202905,0.51079725,-2.338662,11.8234,-2.117743,-2.9014,17.89025,3.501898,-12.80979,-19.18502,22.86208,1.39295,-1.29675,22.77105,31.85535
2.6603760000000003,1.7393165000000002,3.6409895,0.91924301,1.976905,0.0692023999999999,0.6300512500000001,0.4525643499999999,1.62941,-1.1092680499999998,3.451126,1.05488625,-0.9373404,10.87897,-1.27678,-3.850764,16.52767,1.889204,-13.4828,-20.49472,21.44534,2.467789,2.371178,23.33857,30.28968
2.8890225000000003,1.379402,3.388817,1.01892035,2.004504,-0.26972355,-0.2248019499999999,0.35950405,1.30696135,0.3211362299999999,2.9596305000000003,0.094438445,-0.9634358,9.705259,-3.372524,-1.905742,15.63515,2.073939,-13.3971,-19.07322,18.58826,-0.06181314,2.632201,23.80912,28.77863
2.3660125,2.0048335,4.448121,1.5369345,2.7317095,0.1827044,-1.17443725,-0.143077,2.353499,-0.13868155,2.753675,1.11710305,-3.109634,11.5226,-3.06967,-0.8023392,14.16627,4.047706,-11.53552,-20.36926,16.57613,0.9553876,0.8873396,25.40563,32.06982
0.378607525,1.04694615,4.0049835,1.0649815,1.43848805,0.273062355,-0.3809701,-0.0333287,1.23486775,0.70586805,3.846413,1.496638,-4.262753,10.73236,-0.477864,-1.661048,13.5504,4.707274,-12.48765,-20.76225,16.90831,1.699261,1.447844,23.33202,30.46057
2.3935145,0.8034202300000001,4.065528,0.99326225,1.737672,0.2499538999999999,0.0367692499999999,-0.2892410000000001,1.6281305,0.16750051,3.18405,0.2012675,-2.298422,9.282636,-3.331993,-0.2077493,13.55787,2.037176,-14.98735,-22.36705,14.64525,0.9122043,0.4068212,23.20117,30.34448
0.79946615,1.9848965,4.4812275,1.2298385,0.8339501,-0.9064845,-0.105161,-0.547587,1.2953,-0.1230281499999999,4.021459999999999,0.124451655,-3.432401,11.05562,-1.453677,-0.4909548,10.6497,1.510834,-12.03504,-20.79162,14.12244,2.077929,2.026561,19.01704,33.64621
1.5158475,1.0209224,4.0955355,1.7896923,2.7001600000000003,-0.49752375,-1.341873,-0.4862004,0.74251425,1.3659447,3.8416995,-0.0529344,-3.559955,8.27219,-2.95505,1.096736,8.346354,2.446836,-12.67062,-20.34584,12.36352,1.70716,1.099103,18.4861,33.99006
2.5955315,0.3004997,5.1205375,1.238971,3.718379,0.6118401,-0.4846264,-0.7984081000000001,0.8744893499999999,0.1362597,4.078067,1.7520658,-4.399943,8.40871,-1.700468,0.3149052,6.995992,2.033849,-14.56723,-21.7573,12.10766,0.01565122,0.219347,15.1902,33.3898
1.1843015,1.5504755,3.2106075,1.933675,1.941402,0.4775532999999999,-0.36029985,0.4698478,1.2694219,-0.8078735,2.0703415,1.9746989,-2.836869,6.620414,-2.744998,-0.6262349,7.802989,3.052763,-15.4108,-21.78278,10.28092,-0.4363527,0.7232863,13.19021,37.19267
2.574288,1.7533135,2.946026,2.754052,3.2333285,-1.00169615,-0.4371091,0.52173655,1.5413234999999998,-0.1973285,4.065264,1.8053543,-2.497016,7.66316,-1.325079,0.07557158,5.918165,0.9934523,-15.73644,-22.29956,9.246512,1.64761,0.7000118,13.68302,35.73436
2.327769,1.5275065,4.1561295000000005,1.4678144999999998,1.898182,0.54117745,-0.8525851,-0.84109615,0.5777224000000001,1.46458965,3.769345,0.15143285,-2.696758,5.918095,-3.397204,-0.3699856,7.660953,1.497698,-15.4565,-21.61266,11.58396,0.6154659,-1.013774,11.87503,36.7639
0.8504972500000001,1.6423545000000002,3.1430445,1.04293555,2.889495,0.8358171000000001,-0.4460729,-0.1439702,1.0581527,-0.8422742999999999,4.72046,1.28119785,-3.554143,6.745453,-3.462522,-0.8180802,6.072402,1.62128,-15.41269,-22.8018,8.389262,2.808465,1.076557,12.23479,34.89552
1.969714,2.6474945,4.293239,1.261558,2.784279,-0.272130415,-0.8258989999999999,-0.12273545,1.680513,0.4181002,4.033721,0.323426,-5.301412,6.43964,-2.386611,0.2209772,6.382682,2.623986,-16.15969,-22.43777,7.531206,0.2188555,2.569062,14.04387,38.32408
2.2398905,1.18486965,4.2531575,2.158269,3.687928,1.8370355,-0.8339667500000001,-0.3284540999999999,0.95383245,0.0040684999999999,2.115138,2.5489394,-5.469239,7.81279,-2.50147,-1.22792,6.54297,1.2277,-15.06623,-21.23752,7.745525,0.6919605,1.217047,13.82303,36.83712
1.7893583,1.80327965,3.9664125,1.616815,3.150966,1.14937117,-1.3732155,-0.845516405,0.58060135,0.189399435,2.521784,1.2666006,-3.956564,8.076438,-4.58819,-0.6637993,8.369073,1.670071,-13.81917,-21.23261,6.501045,-0.9355175,-0.8474528,11.26903,35.71478
1.5644559,1.72043,4.062596,1.3366825,2.899729,-0.04552745,-0.4032647,0.3123903,1.3737585,0.52516595,3.5492515000000004,1.83611365,-6.678459,8.832405,-1.948429,1.442109,6.580576,1.324486,-14.86266,-20.66835,4.512349,0.8759043,0.2775977,12.56345,33.90433
2.555991,1.3010134,3.5010075,2.523323,2.7852575,-0.164007315,-0.6025402,-0.7180644,0.8895884,-0.6969615,3.0677895,1.9851307,-8.977856,10.43491,-2.992966,-0.695676,7.308442,2.272918,-13.9944,-20.58338,4.341515,1.808293,-0.4180834,13.18358,32.19382
2.7348944,0.1710747,2.819892,1.426525,1.5618245,-0.09258477,-0.984335,-0.1486263,-0.2349806,-0.8794061000000001,2.1900045,0.1082394999999999,-8.551956,9.873036,-2.356008,1.415697,9.280282,-0.1308383,-6.461283,-14.37315,2.358142,1.550623,2.374126,15.72012,33.84
2.0918520000000003,0.3499032,4.6858955,2.176659,2.3728495,-0.1698311499999999,-1.37408525,-0.33756885,0.2294920449999999,0.7633823,3.570301,0.8520734999999999,-7.023001,11.49686,-0.08397175,4.136394,8.844315,2.309855,-9.614463,-5.483104,1.028104,0.9115698,2.402103,14.90019,33.84972
3.255859,1.5978131945,3.5432965000000003,2.45571,3.711912,0.00371665,-0.2452592499999999,0.9743639,0.8799338000000001,-0.1077086999999999,4.0546545,1.777143,-5.813307,7.869323,-3.445353,5.067462,12.24539,0.9470309,-7.836425,6.461523,1.418469,0.8003234,2.6264,16.51808,37.34999
3.437387,1.935821,3.882936500000001,2.3037135,2.6144855,-0.136901006,-0.6410957,0.519659475,0.61402595,-0.1196037,4.096296000000001,1.2425075,-6.715395,8.516509,-5.574639,6.243639,12.84451,0.8782961,-6.783422,20.66421,-1.103139,1.057621,1.434128,13.22141,35.44933
1.620988,1.48398535,5.3833495,1.06456505,1.7631930000000002,-0.49752175,-0.829433,-0.2373304,0.513073835,0.3234823,3.704303,1.59312055,-8.057477,7.465174,-3.993175,6.270154,12.26156,-0.4171798,-3.259323,29.238,-1.034786,1.262062,2.393409,14.10623,33.65358
0.8306908,1.154795,6.4466295,1.9903724,1.761836,0.6185414,-0.4717799,-0.0003226949999999,1.59112945,1.0677087,4.445539500000001,1.68102375,-10.82631,10.32217,-1.794849,9.338968,15.8417,0.3496236,-1.954777,36.15126,-2.814527,3.536124,1.838288,13.12086,31.95695
2.6613835,1.9350495,5.7563855,2.15678175,3.0309885000000003,0.2229102999999999,0.0975624,-0.1173261499999999,0.80587725,-0.062552,3.4003815,1.4101870499999998,-11.15915,11.6463,-1.190603,2.906611,13.14812,0.3036244,-3.230606,44.64091,-5.600002,1.046983,0.6376217,12.23964,30.35397
2.281808,-0.63384085,5.248158,0.8655232499999999,1.6308625,0.45262525,-1.4386391,-0.5600511499999999,0.49242966,-0.27393975,3.6146785,-0.087467,-10.30414,10.82265,-3.352833,2.792937,14.15937,0.9130595,-3.150947,55.45945,-6.129386,4.499833,0.9749295,12.26187,28.83948
2.8804105,2.16564715,4.717043,1.483121602,2.084452,0.180142,-1.7111925,-2.106684,0.6557489000000001,0.3122072489999999,4.295923,-0.0678409999999999,-12.02236,10.08162,-3.140636,1.071898,14.79161,1.025447,-3.365794,63.95423,-5.493449,1.957353,0.7244673,11.68681,27.40857
2.3592310000000003,2.8586020000000003,5.7729715,1.20824385,0.6285575,0.4753676635,-1.53086033,-1.3254405,1.6993585,-0.66364775,3.5473165,-1.079463,-8.325201,9.227792,0.758343,3.940686,12.79561,0.1358194,-3.311134,70.53224,-5.449595,3.096528,1.343556,13.69273,26.05666
3.2301405,1.05962,7.233477000000001,2.8329315000000004,2.090634,0.5320665550000001,-0.5757451699999999,-0.7500005999999999,1.761464,0.33844795,3.4263655,0.121058,-8.998627,10.10053,-0.957387,4.492426,12.98919,-1.495198,-0.2218133,73.19395,-6.788442,1.029035,2.348663,15.10072,31.47848
2.341658,2.705995,6.698773,2.2157545,1.43646895,0.55941325,0.0002755849999999,-0.2991357,1.69497965,0.8913673,2.54289,-0.4333577,-6.467222,9.376999,0.2870441,3.759331,11.98152,0.4145519,3.461541,69.17468,-8.155876,1.487962,1.177003,14.94236,31.55817
2.2364085,0.8132971499999999,4.304055,2.1196770000000003,1.935892,0.8814565,-2.767247,-2.159475,1.5679483,-0.0621542999999999,5.4595935,-0.7868433,-5.57171,7.472536,-2.171144,3.100322,14.22163,-0.1248564,8.301798,63.8379,-4.866912,1.470935,3.449033,17.37852,33.66773
1.820045,2.184174,4.099271,3.2097925,1.737566,0.15617585,-0.66253955,0.8510115,0.8826576,-0.8670231000000002,4.1816775,-0.6469509,-6.31018,7.027094,-2.597722,3.718426,11.43994,-0.1736826,6.70689,59.89993,-5.846899,2.752429,2.216664,16.84278,31.97034
2.4213055,1.8382865,4.0501055,1.94356995,1.0478174999999998,-0.039671,-0.3543764499999999,-1.4075757,1.860513,0.5174862,2.837178,-0.7467017250000001,-10.10987,10.15918,-1.049773,5.74697,12.85664,0.5013481,7.686665,50.16867,-7.55559,1.51082,2.115378,18.40523,30.36665
2.370234,1.3901315,3.8827805,1.0309856,0.8731243,0.0144806499999999,-2.277972,-1.4690547,0.5923542500000001,0.0950720499999999,3.8855865,-0.8768204000000002,-8.938701,9.308432,0.8294615,4.4378,11.13067,1.044477,5.095153,46.44267,-9.397416,1.427687,1.678118,16.54929,28.85147
2.6594855,0.840535845,4.748296,2.390075,0.8627929,-0.0532059999999999,0.06679025,-0.257581685,0.67161145,0.095067775,2.8077915,-1.83004365,-5.690111,6.03267,-1.589742,2.712253,10.97245,0.4823993,1.644334,48.66114,-6.06086,0.9063166,2.562159,14.72672,27.41992
2.3271230000000003,2.01429735,3.9852325,1.919947,1.2975880000000002,0.9672675,-0.6826353000000001,-2.3657255,-0.1349318,-0.16728481,1.950111,-1.3622122,-5.444948,5.690046,-1.879695,2.562951,11.52898,-1.731871,2.69685,43.19052,-4.121724,1.055355,1.934631,14.71063,33.33266
1.6150027,1.4192046500000002,3.85417865,3.369423,1.314780255,1.0255506445,1.50645525,-0.104406545,0.77904375,0.28900975,4.12166,-1.2148355999999998,-5.907731,6.758219,-2.665741,3.00316,9.373856,1.47854,11.24742,37.2888,-4.177098,-0.02488101,-0.3409064,14.57755,41.16241
2.9666715,0.507967,4.413028000000001,2.113032,0.883271855,0.370784145,-0.2951088,-2.5418045,-0.0020768,-1.90864975,5.0486355,-0.3096244999999999,-3.500068,5.721794,-2.978527,3.219987,10.69274,1.476904,8.82128,33.76121,-4.704566,0.3381779,-0.1242601,16.62124,39.40908
1.3052375,1.9777625,2.58284,2.5238955,1.7292492000000002,0.0155032999999999,0.1531444,-0.28534765,-0.02364145,-0.4943550000000001,2.4073915,-0.612538,-4.6703,6.849482,-2.138621,3.812378,8.629658,0.7612132,7.948308,31.42616,-5.444325,-0.07961836,0.6358684,15.64447,39.94434
0.77636235,0.73810745,1.0555949,2.041933,0.37788675,3.286895,0.2815516999999999,-0.4840563,0.96028455,-0.50359295,4.90485,-2.521779,-5.18314,6.939267,-2.757645,2.420873,9.021683,2.550663,9.495131,27.79736,-4.71841,0.5820912,1.084216,16.4241,39.91614
0.3576435,2.140054,0.9202481,2.848236,1.0238434,3.420455,-0.6857594,-1.4927410500000002,0.55444475,-0.0686453,5.3017125,-1.0255739,-5.316596,5.566071,-4.244037,1.937324,7.42732,2.93837,5.953959,25.37569,-4.905427,0.6286851,0.07846636,14.9403,37.88317
2.6110095,0.8507765,0.18347615,2.1415615,0.407780895,4.244177,-1.5529885,-1.47613025,0.33950375,0.3189979,3.9311105,-1.37279,-5.502788,6.009607,-2.650685,3.971261,6.804836,1.648501,4.862521,24.89114,-6.679868,0.850191,2.64892,13.74911,35.95311
3.484423,2.0506865,1.8807195,3.0659935000000003,1.5964152,4.104768,0.1262425,0.3438694,0.009202,-1.7412474,4.6237315,-0.4689746999999999,-6.057276,7.071791,-2.265052,3.548392,5.723999,2.339683,4.552663,26.45881,-5.693889,1.629133,2.855577,12.14956,34.15464
1.680538,1.07418945,2.971788,2.526602,2.0097255,1.9476114,-0.2321153,-0.5892736,0.3698791,-0.60827495,4.087679,-0.07040495,-5.057571,5.919577,-0.9713245,4.068233,8.035387,-1.168285,3.730424,26.64667,-4.745039,2.324918,2.005621,12.08881,37.85677
2.0657465,3.592724,1.6792585,3.0504395,2.60748,1.5328733,-0.6898608,-1.1328545,0.48097695,-0.096581695,3.80858,-0.32176675,-6.651801,6.240835,-3.800951,2.85707,7.27983,0.3103451,3.502355,24.27358,-6.569696,-0.1619089,0.5905255,11.42426,35.92815
2.3606675,1.61440825,2.4049810000000003,2.4556750000000003,1.976029,1.7617757,-1.995704,0.27019175,1.3268865,-0.43186665,4.5828965,-0.0032111499999999,-6.793137,6.85585,-1.54785,-0.08282116,7.638955,1.444255,-0.2734452,23.71453,-5.574127,2.630036,-1.939114,12.41299,39.37479
3.26942,3.462618,2.2624120000000003,3.008381,1.6416836,1.8160465,0.00011065,-1.2195256499999998,1.43651835,-0.66149075,4.8189005,0.3743300499999999,-4.960967,5.588324,-1.452259,1.857143,5.73961,1.018284,1.404332,22.38612,-3.093284,-1.456163,-0.08968327,9.423212,37.36527
3.2901655,2.4653402,2.445565,3.627844,1.3526295,1.5161965,-1.1859865,-0.32758535,1.967102,-0.24941585,4.298966,-1.0879402,-9.844673,7.089507,-1.565603,2.996603,6.527378,0.6496934,-0.2026808,20.71229,-5.021428,2.359513,-0.9877693,8.7785,35.46381
3.9403455,3.20606135,2.45181035,3.509138,1.5649193,1.02988775,-0.3403445999999999,-0.5452999999999999,1.467174,0.42968405,4.9542605,-1.07397295,-6.5595,7.874649,-0.1775486,2.50461,5.06398,2.370749,1.364136,21.3019,-4.8443,2.444738,-0.08081036,8.685042,33.6673
1.82435205,2.9473195,2.973805,4.9174885,2.13113,1.1273135,0.51071,0.117288265,2.7298145000000003,-1.3994025,4.279999,-0.7568980999999999,-5.86984,7.758117,-0.7246814,2.44843,5.397086,1.930526,-1.114686,18.6262,-4.813781,1.289546,2.547569,7.804733,31.96996
2.5401458,2.23429975,1.534144,2.7992865,2.01162085,1.3794388,-0.7129685,-1.09957225,2.1027,0.2532014999999999,4.647928,0.0302215,-7.58543,6.433372,0.2960927,1.859167,6.856288,0.8191418,-1.132415,22.02815,-5.794058,0.427539,0.3684766,7.486724,30.3663
2.793455,3.403671,1.567595,2.9494925,3.480928,0.095196,0.178811,-0.4444453500000001,1.0944503,1.04493385,3.5639775,-1.0541485,-7.517932,2.843489,-2.865904,2.395394,5.484282,2.220034,-15.00746,18.80057,-9.016326,2.807637,2.389994,10.08891,28.85116
1.880244,3.00500725,1.72411305,2.2896455,7.365746,-0.0144797,-0.5543950000000001,-0.303355,1.295257,1.14044575,2.712447,3.0531135,-5.334602,3.556208,-2.097064,1.675889,6.103426,0.5511501,-16.41467,19.46536,-9.661477,3.1444,2.332343,6.533675,27.41965
3.1917785,2.7745685,1.93700515,3.432393,6.1813755,0.06790635,-0.43976225,0.0230272649999999,1.22160005,-0.1489632,4.5060225,1.78590085,-5.229071,3.8443,-3.470683,2.608157,4.763216,0.7750089,-13.42197,21.00162,-8.809147,3.188697,3.404606,7.384443,26.06715
3.2081015,1.13733845,1.2883834,3.345067,5.573307499999999,-0.8873099,-0.27078944,-0.58897295,1.3216185,0.09865825,3.5498305,1.421846,-2.306289,4.324651,-2.276331,2.009308,7.943229,0.09592924,-8.582814,18.27796,-8.716833,1.859094,1.23694,7.269691,28.45663
3.1787215,2.8189035,1.306333,3.384803,4.6816770000000005,-0.39770845,-0.54284195,-0.0879485449999999,1.2958901150000002,0.5947083,3.6115865,1.024113,-4.264925,1.671513,-2.139612,1.080843,7.697474,1.079587,-6.846976,17.46872,-6.727937,-0.709704,3.817694,6.694894,31.46109
1.9567295,2.3113985,-0.345119625,2.4331235,3.1494075,0.5445924050000001,1.03658362,-0.96001535,1.48445685,-0.07512585,3.8103595,-1.1684385000000002,-4.484402,4.613482,-0.8558589,4.082636,17.26035,2.815267,-2.160316,11.55656,-8.507348,1.123502,0.6803507,8.984558,37.1573
2.0264230000000003,1.987289,0.8470806999999999,2.5859765,2.3647905,-0.46155355,-0.75095665,0.0109114999999999,0.96349482,0.282533545,3.787572,0.7985145,-5.257903,2.057516,-0.1519561,4.457083,36.34154,-0.8896509,-2.71775,11.09347,-12.16974,-0.5517423,0.6038972,9.036352,35.26729
2.0246515,2.298363,0.8205805,3.9212995,3.345438,-1.2921025,-0.8651843,-1.6773974500000002,1.2983265,0.2882297,4.090704499999999,1.4356045,-8.207529,2.026766,-3.079969,5.436689,44.20616,0.5178108,-6.002563,12.92711,-15.17899,-1.152507,-2.105928,8.24424,33.4816
3.1158185000000005,2.8603195,1.6516696,2.843866,2.63877785,-0.04327275,-1.17404265,-1.05224259,1.6568059000000002,1.69874765,4.087408,-0.4203019999999999,-7.205516,0.9080783,-3.968553,7.66302,52.67595,2.709789,-9.050107,15.46306,-16.3017,0.4378951,-1.585218,8.647739,31.79448
2.7985935,3.010829,0.73762135,2.4403930000000003,2.68280035,0.28745475,-1.4021515,-0.4332940249999999,1.24011125,0.1128055,4.6543475,0.334943,-8.079443,2.0025,-4.017915,7.659807,51.41952,1.48877,-8.601469,12.8761,-19.1344,1.436099,-0.9641931,9.03455,30.20048
3.524784,2.329078,2.4182405,2.9813235,2.9173711,0.0576734499999999,-1.3693900499999998,-0.4373603499999999,0.77487565,0.22034544,4.645728,1.1688817,-8.147557,3.10445,-4.952761,10.695,48.16261,1.177698,-9.719733,12.27035,-18.47742,1.537795,1.059515,7.900359,28.71637
3.3563325,1.6205865,2.3120935,3.5341515,3.7954035,0.39317445,-1.0078651079999998,-0.404215,-0.4202864,-0.3742972999999999,3.13473,0.049111,-7.334126,1.460635,-3.023398,12.11149,43.58181,1.527228,-9.077037,16.08382,-15.61086,0.1860797,-0.6402498,10.29464,27.31164
2.8604225,3.2929205,2.340255,3.6551855,4.5408945,-0.37346965,-0.8249504999999999,-1.167124515,-0.27447425,-1.3161381,3.1182575,0.763434,-6.581332,1.470789,-2.023911,12.07842,42.92536,2.781798,-11.14861,16.1753,-18.27105,1.857743,1.222868,10.08565,25.96499
3.2126475,3.179666,2.207946,4.228437,4.735267,1.4871412,-1.0533937,-0.4767555,-0.1517834999999999,-0.4140544,4.5575165,-0.267954,-4.21857,3.277463,-3.009166,10.36844,39.18609,1.422609,-12.11861,14.4192,-13.44038,1.878434,1.541014,9.391472,24.69268
